content,techniques
تحذيرات من حرب جديدة في حال فشل الانتخابات القادمة,"[""'loaded_language'"", ""'appeal_to_fear'""]"
رب اجعل صباحي هذا غائم بلطفك، لا شر فيه ولا وقوع ولا تعثر. #صباح_الخير LINK #العراق #دعاء #السومرية LINK,['no_technique']
الحرب على #سورية | حملات تظليل مستمرة .. لمحاولة النيل من #الشعب_السوري LINK عبر @USER,"[""'loaded_language'""]"
حال الملعب الجماعي يقلق نشطاء بأولاد النمة LINK #جهات #24_ساعة #الأشواك,['no_technique']
الفنان فلاح هاشم: امنيتي انتقال البلد لحالة الاستقرار السياسي LINK,['no_technique']
#أخبار_الخامسة | الأحد 30 مايو 2021م LINK,['no_technique']
مجزرة حولت حيّا مزدهرا للأميركيين السود إلى أنقاض.. بايدن يستذكر مذبحة تولسا بعد مئة عام على حدوثها LINK,"[""'loaded_language'""]"
"#عين_اليمن بالصور "" قبائل قيفة تكبد مليشيا الحوثي خسائر كبيرة في اعنف هجوم لمحاولة اجتياح يكلا اقرأ المزيد : LINK",['no_technique']
لقطات جوية توثق الدمار الهائل في غزة.. فيديو LINK #عاجل #رؤيا_الإخباري #فلسطين #قطاع_غزة #غزة #غزة_تنتصر,"[""'loaded_language'""]"
ما هي أول عاصمة عربية لـ #القهوة في العالم؟ LINK LINK,['no_technique']
كتيبة المهرجين الناشطين: أسلوب احتجاجي جديد في تونس خدمة للقضايا العادلة [فيديو] LINK LINK,['no_technique']
"فيروس كورونا: هل تسير باكستان على خطى الهند وتواجه ""مصيراً مشؤوماً"" قريباً؟ LINK","[""'loaded_language'"", ""'fud'""]"
"#عاجل| مدير ""الحسين للسرطان"" محذرا من تفشي كورونا في #الأردن: ""موضع لا نتمناه"" #رؤيا_الاخباري #الأردن LINK","[""'loaded_language'"", ""'appeal_to_fear'""]"
#الوصال ما اسم الحيوان البري الذي تتخذه ولاية المضيبي شعاراً لها ؟ - حيوان النمر - حيوان الغزال - حيوان الوعل برنامج المسابقات #حواء_الأولى_وآدم_الأول LINK,['no_technique']
مراكز أبحاث عالمية تناقش طرح جرعة إضافية ومعززة من اللقاحات.. فهل نحن بحاجة إليها؟ #صباح_سكاي,"[""'fud'""]"
بناء أول منزل طيني بتقنية الطباعة ثلاثية الأبعاد بإيطاليا.. هل هذا هو مستقبل السكن؟ LINK,"[""'fud'""]"
العرض الخاص لفيلم #أنت_جريح في دار الأسد للثقافة والفنون بدمشق LINK عبر @USER,['no_technique']
RT @USER #عين_العرب قطع للشوارع في #المكلا الان مع استمرار احتشاد المواطنين الغاضبين من تردي الخدمات في المحافظة LINK,['no_technique']
جوجل يحتفل بعيد استقلال المملكة الأردنية الهاشمية #صحيفة_الرأي #الأردن LINK,['no_technique']
أغرب جلسة تصوير لحفل خطوبة بملابس الديناصورات LINK,"[""'loaded_language'""]"
#عاجل | رئيس حكومة الوفاق الوطني فائز السراج: اتفاقنا على حكومة وحدة وطنية هو مدخل للأمن واستقرار الدولة #عين_ليبيا LINK,['no_technique']
المالية النيابية: البحث عن مكاسب مسبقة للانتخابات المبكرة يعطل الموازنة LINK,['no_technique']
"دعوات للتظاهر في ""الطبقة"" ضد حملات التجنيد الإجباري لـ ""ب ي د"" LINK",['no_technique']
"حذار من هذه الأخطاء الغذائية في الصيف.. تسبب ""أضرارًا فادحة"". LINK LINK","[""'appeal_to_fear'""]"
فئات جديدة تستفيد من التطعيم تتراوح أعمارها بين 40 و45 سنة، رغم أن آخر إعلان رسمي لوزارة الصحة يهم المواطنات والمواطنين الذين تفوق أعمارهم 45 سنة.#المغرب #كورونا #Covid19 #كوفيد_19 #صحة #فيروس #لقاح_كورونا,['no_technique']
RT @USER رئيس الوزراء السوداني: قرار رفع السودان من قوائم الإرهاب سيفتح الباب أمام عودته للمجتمع الدولي,"[""'loaded_language'""]"
مشاهد مرعبة لمرضى كورونا من غرف العناية المركزة في الأردن.. فيديو #رؤيا_الاخباري #الأردن #عاجل LINK,"[""'loaded_language'""]"
لم يصوت للرئيس .. فهل هذا الأمر يشكل له عائق ؟ ! #شاهد الآن إجابته عبر برنامج #بين_السماء_والأرض مع محمد العلوي LINK,"[""'fud'""]"
"""الغزالة زاكورة"" .. الركود يخنق التنمية والبطالة تغتال أحلام الشباب LINK #جهات #البرامج_التنموية_بزاكورة #الفقر_التنموي","[""'loaded_language'"", ""'appeal_to_fear'""]"
#الوصال| شركتا “أساور العقارية” و “المخطط العقارية”توقعان اتفاقية للتسويق والترويج لمشروع سوق السد LINK,['no_technique']
147 ضحية غرق على مستوى #الشواطئء و #المجمعات_المائية خلال #موسم_الاصطياف الماضيLINK,"[""'loaded_language'""]"
🔴 جلالة السلطان المعظم يصدر 3 مراسيم سلطانية سامية,"[""'loaded_language'""]"
